plate,row,col,OD600.1,OD600.2,OD750.1,OD750.2,Blank1od600,blank2od600,blank1od750,blank2od750,od600mean.blanked,od750mean.blanked,od600.fancyblankmean,od750.fancyblankmean,Note: blank is 2xK at 70ul for col 1-10 and 50ul for col 11 and 12,"plate 18 so cols 7 and 8, row C tiny amount cross contam bt these 2",regular blanked is just average of two wells where each has blank subtracted and fancy blank sets wells to zero if they are less than their corresponding blank value
18,D,2,0.04,0.042,0.04,0.041,0.039,0.042,0.04,0.042,0.0005,-0.0005,0.0005,0,,,
18,D,3,0.047,0.047,0.046,0.044,0.038,0.042,0.04,0.041,0.007,0.0045,0.007,0.0045,,,
18,D,4,0.047,0.049,0.043,0.046,0.039,0.042,0.038,0.041,0.0075,0.005,0.0075,0.005,,,
18,D,5,0.041,0.041,0.04,0.04,0.038,0.039,0.037,0.039,0.0025,0.002,0.0025,0.002,,,
18,D,6,0.044,0.041,0.042,0.04,0.05,0.041,0.053,0.04,-0.003,-0.0055,0,0,,,
19,A,1,0.047,0.047,0.044,0.044,0.039,0.038,0.038,0.037,0.0085,0.0065,0.0085,0.0065,,,
19,A,2,0.039,0.039,0.04,0.039,0.041,0.038,0.042,0.038,-0.0005,-0.0005,0.0005,0.0005,,,
19,A,3,0.041,0.039,0.041,0.041,0.04,0.038,0.041,0.04,0.001,0.0005,0.001,0.0005,,,
19,A,4,0.048,0.04,0.046,0.04,0.04,0.038,0.041,0.04,0.005,0.0025,0.005,0.0025,,,
19,A,5,0.057,0.052,0.057,0.049,0.04,0.038,0.041,0.039,0.0155,0.013,0.0155,0.013,,,
19,A,6,0.047,0.05,0.043,0.047,0.04,0.038,0.04,0.038,0.0095,0.006,0.0095,0.006,,,
19,B,1,0.047,0.047,0.044,0.043,0.037,0.037,0.037,0.037,0.01,0.0065,0.01,0.0065,,,
19,B,2,0.043,0.042,0.041,0.041,0.038,0.039,0.038,0.038,0.004,0.003,0.004,0.003,,,
19,B,3,0.04,0.04,0.039,0.039,0.038,0.039,0.038,0.039,0.0015,0.0005,0.0015,0.0005,,,
19,B,4,0.04,0.04,0.04,0.04,0.039,0.039,0.037,0.04,0.001,0.0015,0.001,0.0015,,,
19,B,5,0.069,0.045,0.055,0.048,0.039,0.038,0.038,0.039,0.0185,0.013,0.0185,0.013,,,
19,B,6,0.049,0.043,0.046,0.043,0.038,0.038,0.038,0.038,0.008,0.0065,0.008,0.0065,,,
19,C,1,0.04,0.04,0.039,0.04,0.039,0.039,0.039,0.038,0.001,0.001,0.001,0.001,,,
19,C,2,0.04,0.041,0.041,0.045,0.038,0.038,0.039,0.04,0.0025,0.0035,0.0025,0.0035,,,
19,C,3,0.04,0.041,0.039,0.039,0.038,0.039,0.038,0.038,0.002,0.001,0.002,0.001,,,
19,C,4,0.058,0.048,0.052,0.048,0.038,0.038,0.04,0.039,0.015,0.0105,0.015,0.0105,,,
19,C,5,0.049,0.049,0.049,0.045,0.038,0.039,0.04,0.038,0.0105,0.008,0.0105,0.008,,,
19,C,6,0.048,0.049,0.044,0.045,0.038,0.038,0.038,0.038,0.0105,0.0065,0.0105,0.0065,,,
19,D,1,0.044,0.046,0.045,0.041,0.037,0.039,0.036,0.038,0.007,0.006,0.007,0.006,,,
19,D,2,0.048,0.04,0.045,0.039,0.048,0.041,0.046,0.041,-0.0005,-0.0015,0,0,,,
19,D,3,0.039,0.04,0.04,0.04,0.038,0.041,0.039,0.041,-3.46944695195361E-018,-3.46944695195361E-018,0.0005,0.0005,,,
19,D,4,0.048,0.058,0.043,0.05,0.038,0.042,0.039,0.042,0.013,0.006,0.013,0.006,,,
19,D,5,0.041,0.044,0.042,0.043,0.038,0.042,0.041,0.043,0.0025,0.0005,0.0025,0.0005,,,
19,D,6,0.05,0.051,0.047,0.047,0.038,0.042,0.039,0.041,0.0105,0.007,0.0105,0.007,,,
20,A,1,0.045,0.046,0.043,0.043,0.041,0.038,0.043,0.038,0.006,0.0025,0.006,0.0025,,,
20,A,2,0.039,0.041,0.04,0.04,0.041,0.039,0.041,0.039,0,-3.46944695195361E-018,0.001,0.0005,,,
20,A,3,0.041,0.042,0.04,0.04,0.041,0.038,0.041,0.038,0.002,0.0005,0.002,0.001,,,
20,A,4,0.041,0.042,0.04,0.041,0.04,0.038,0.041,0.039,0.0025,0.0005,0.0025,0.001,,,
20,A,5,0.049,0.047,0.046,0.045,0.04,0.038,0.04,0.038,0.009,0.0065,0.009,0.0065,,,
20,A,6,0.05,0.046,0.052,0.044,0.04,0.043,0.039,0.044,0.0065,0.0065,0.0065,0.0065,,,
20,B,1,0.04,0.039,0.04,0.039,0.038,0.038,0.038,0.038,0.0015,0.0015,0.0015,0.0015,,,
20,B,2,0.042,0.042,0.041,0.041,0.038,0.038,0.038,0.038,0.004,0.003,0.004,0.003,,,
20,B,3,0.076,0.046,0.058,0.045,0.039,0.039,0.038,0.04,0.022,0.0125,0.022,0.0125,,,
20,B,4,0.048,0.046,0.046,0.043,0.038,0.039,0.038,0.038,0.0085,0.0065,0.0085,0.0065,,,
20,B,5,0.043,0.043,0.042,0.041,0.038,0.039,0.037,0.038,0.0045,0.004,0.0045,0.004,,,
20,B,6,0.039,0.039,0.039,0.039,0.043,0.043,0.044,0.044,-0.004,-0.005,0,0,,,
20,C,1,0.039,0.039,0.039,0.039,0.038,0.039,0.038,0.038,0.0005,0.001,0.0005,0.001,,,
20,C,2,0.045,0.045,0.043,0.043,0.039,0.039,0.04,0.039,0.006,0.0035,0.006,0.0035,,,
20,C,3,0.043,0.044,0.046,0.041,0.038,0.038,0.041,0.038,0.0055,0.004,0.0055,0.004,,,
20,C,4,0.04,0.04,0.041,0.039,0.038,0.038,0.039,0.038,0.002,0.0015,0.002,0.0015,,,
20,C,5,0.047,0.045,0.044,0.045,0.038,0.039,0.038,0.04,0.0075,0.0055,0.0075,0.0055,,,
20,C,6,0.046,0.05,0.044,0.046,0.047,0.047,0.048,0.049,0.001,-0.0035,0.0015,0,,,
20,D,1,0.039,0.04,0.039,0.042,0.038,0.042,0.038,0.042,-0.0005,0.0005,0.0005,0.0005,,,
20,D,2,0.04,0.042,0.04,0.041,0.039,0.042,0.04,0.042,0.0005,-0.0005,0.0005,0,,,
20,D,3,0.05,0.052,0.048,0.046,0.038,0.042,0.04,0.041,0.011,0.0065,0.011,0.0065,,,
20,D,4,0.045,0.049,0.042,0.045,0.039,0.042,0.038,0.041,0.0065,0.004,0.0065,0.004,,,
20,D,5,0.039,0.041,0.039,0.039,0.038,0.039,0.037,0.039,0.0015,0.001,0.0015,0.001,,,
20,D,6,0.044,0.04,0.041,0.039,0.05,0.041,0.053,0.04,-0.0035,-0.0065,0,0,,,
21,A,1,0.048,0.085,0.047,0.078,0.039,0.038,0.038,0.037,0.028,0.025,0.028,0.025,,,
