"pixstart","pix20","pix23","pixend","alivestart","alive20","alive23","aliveend","deadstart","dead20","dead23","deadend","dpixse","dpixs20","dpix2023","dpixs23","dpix23e","dpixse.1","bzt","nacl","inoc","plnt.micr","plate","lbzt","lnacl","lOD600","lOD750","flOD600","Lcellfb6","cellfb6","red","green","blue","aggrE","daggrE","x","y"
660,122.079646017699,1500.3982300885,5168,1,1,1,1,0,0,0,0,4508,-537.920353982301,1378.3185840708,840.398230088496,3667.6017699115,4508,10,0.8,"n","KSR",1,2.30358459332713,-0.127833371509885,-3.72970144863419,-3.68887945411394,-3.72970144863419,7.64680422471558,2008.4482676799,0.464936451488817,0.492915067159668,0.0421484813515147,11.308484426764,9.23387388774246,42.3333333333333,-63.75
1669,2321.08849557522,2228.93805309735,3219,1,1,1,1,0,0,0,0,1550,652.088495575221,-92.1504424778761,559.938053097345,990.061946902655,1550,10,0.8,"n","MoccTr",1,2.30358459332713,-0.127833371509885,-3.72970144863419,-3.88733039283777,-3.72970144863419,7.64680422471558,2008.4482676799,0.435660527236987,0.413916713789482,0.15042275897353,8.38211399050079,3.01486418345165,63.5,-63.75
3017,2273.04424778761,5348.66371681416,5684,1,1,1,1,0,0,0,0,2667,-743.95575221239,3075.61946902655,2331.66371681416,335.33628318584,2667,10,0,"y","BruceH",1,2.30358459332713,-2.52572864430826,-3.91202300542815,-3.9633162998157,-3.91202300542815,7.27343606473119,1356.0001774582,0.459078682787977,0.510502354651416,0.0304189625606072,12.5474059717176,4.91964669237269,84.6666666666667,-63.75
904,1264.11504424779,2279.34513274336,3191,1,1,1,1,0,0,0,0,2287,360.115044247788,1015.23008849558,1375.34513274336,911.654867256637,2287,1,0.8,"y","BruceH",1,0.00995033085316809,-0.127833371509885,-3.31044301839369,-3.33822258250077,-3.31044301839369,8.46237049262528,4647.770032969,0.461877501393181,0.444129219649763,0.0939932789570563,9.0505309493556,6.2897619652514,105.833333333333,-63.75
2583,622.212389380531,281.176991150442,520,1,1,1,1,0,0,0,0,-2063,-1960.78761061947,-341.035398230089,-2301.82300884956,238.823008849558,-2063,0,10,"n","BruceH",1,-4.60517018598809,2.31055326264322,-4.07454193492592,-4.30506559353775,-4.07454193492592,6.91413624388924,920.906520643025,0.462457574975686,0.424190699243792,0.113351725780521,4.69267491494527,-2.56638907891699,127,-63.75
829,1274.35398230089,2562.09734513274,1914,1,1,1,1,0,0,0,0,1085,445.353982300885,1287.74336283186,1733.09734513274,-648.097345132743,1085,0.1,0.8,"n","KSR",1,-2.20727491318972,-0.127833371509885,-4.50986000618377,-4.50986000618377,-4.50986000618377,5.47331402197794,152.75360049071,0.447362844048849,0.475840419613764,0.0767967363373864,8.33906989308215,3.09442525097062,21.1666666666667,-85
2575,2049.36283185841,4082.97345132743,5044,1,1,1,1,0,0,0,0,2469,-525.637168141593,2033.61061946903,1507.97345132743,961.026548672566,2469,0.1,0.8,"y","KSR",1,-2.20727491318972,-0.127833371509885,-3.61191841297781,-3.88733039283777,-3.61191841297781,7.87919658135476,2556.25443025762,0.438436948083115,0.433627844337886,0.127935207578998,10.6311003947671,6.18602683095739,42.3333333333333,-85
657,290.628318584071,537.150442477876,1209,1,1,1,1,0,0,0,0,552,-366.371681415929,246.522123893805,-119.849557522124,671.849557522124,552,0.1,0,"n","MoccTr",1,-2.20727491318972,-2.52572864430826,-3.2570970376884,-3.32423634052603,-3.2570970376884,8.56524658816181,5160.63854960191,0.431602667036721,0.411619715983057,0.156777616980222,7.66247100429707,4.59247796668615,63.5,-85
673,2064.32743362832,2985.83185840708,3334,1,1,1,1,0,0,0,0,2661,1391.32743362832,921.504424778761,2312.83185840708,348.16814159292,2661,1,0,"n","KSR",1,0.00995033085316809,-2.52572864430826,-3.2570970376884,-3.54045944899566,-3.2570970376884,8.56524658816181,5160.63854960191,0.471329826544364,0.450383283339854,0.078286890115782,10.6277852511587,8.28333581358274,84.6666666666667,-85
1370,1499.61061946903,3626.1592920354,4887,1,1,1,1,0,0,0,0,3517,129.610619469026,2126.54867256637,2256.1592920354,1260.8407079646,3517,10,0,"y","KSR",1,2.30358459332713,-2.52572864430826,-3.91202300542815,-4.1043948980756,-3.91202300542815,7.27343606473119,1356.0001774582,0.430499620615187,0.413037817257744,0.156462562127069,7.52547759911548,4.28209870854046,105.833333333333,-85
